original_address,resolved_address,lat,lng,cp
"Polanco, Miguel Hidalgo, Ciudad de México",Polanco,19.4312518,-99.1960619,21600
"Santa Fe (Vasco de Quiroga), Cuajimalpa, Ciudad de México","Patrocinado
",19.3715637,-99.2586519,21600
"Roma Norte, Cuauhtémoc, Ciudad de México",Roma Nte.,19.4181529,-99.1652013,21600
"Condesa, Cuauhtémoc, Ciudad de México",Colonia Condesa,19.4153108,-99.1760841,21600
"Del Valle Centro, Benito Juárez, Ciudad de México",Col del Valle Centro,19.3838999,-99.1677339,21600
"Narvarte, Benito Juárez, Ciudad de México",Narvarte Poniente,19.3903645,-99.1577884,21600
"San Ángel, Álvaro Obregón, Ciudad de México",San Ángel,19.3452172,-99.1927671,21600
"Del Carmen, Coyoacán, Ciudad de México",Del Carmen,19.3543898,-99.1645072,21600
"Lomas de Estrella, Iztapalapa, Ciudad de México",Lomas Estrella,19.3164778,-99.0913053,21600
"Clavería, Azcapotzalco, Ciudad de México",Claveria,19.4650986,-99.1820918,21600
"Interlomas, Huixquilucan (Edomex), Ciudad de México",Interlomas,19.3969573,-99.2816212,21600
"Ciudad Satélite, Naucalpan (Edomex), Ciudad de México",Cd. Satélite,19.5095979,-99.2347436,21600
"Arboledas, Tlalnepantla (Edomex), Ciudad de México",Calz. Arboleda,19.5329331,-99.1648798,21600
"Lindavista, Gustavo A. Madero, Ciudad de México",Lindavista,19.5037195,-99.1324644,21600
"Jardín Balbuena, Venustiano Carranza, Ciudad de México",Jardín Balbuena,19.4166882,-99.1070175,21600
"Valle del Campestre, San Pedro Garza García, Nuevo León",Valle del Campestre,25.6500033,-100.3561208,21600
"Valle Oriente, San Pedro Garza García, Nuevo León",Valle Oriente,25.6588144,-100.3484476,21600
"Colinas de San Jerónimo, Monterrey, Nuevo León",Colinas de San Jerónimo,25.6871051,-100.377274,21600
"Cumbres 4to Sector, Monterrey, Nuevo León",Cumbres Elite 4to. Sector,25.7405628,-100.4070048,21600
"Mitras Centro, Monterrey, Nuevo León",Mitras Centro,25.6960545,-100.3445709,21600
"Contry, Monterrey, Nuevo León",Contry,25.6338035,-100.2786352,21600
"Anáhuac, San Nicolás de los Garza, Nuevo León",Anáhuac,25.7370428,-100.3067143,21600
"Tecnológico, Monterrey, Nuevo León",Tecnologico,25.6490378,-100.2936254,21600
"Del Valle (Calzada), San Pedro Garza García, Nuevo León",Calz. del Valle,25.6573374,-100.3696734,
"Lindavista, Guadalupe, Nuevo León",Linda Vista,25.693041,-100.2558127,
"Obispado, Monterrey, Nuevo León",Museo Regional de Nuevo León El Obispado,25.6733765,-100.342422,
"Las Cruces, Apodaca, Nuevo León",Las Cruces,25.8025921,-100.112702,
"Valle Poniente, Santa Catarina, Nuevo León",Zona Valle Poniente,25.655845,-100.4120915,
"Vista Hermosa, Monterrey, Nuevo León",Vista Hermosa,25.6932785,-100.3614073,
"San Jerónimo (Torres), Monterrey, Nuevo León","Patrocinado
",25.6784688,-100.361207,
"Puerta de Hierro, Zapopan, Jalisco",Puerta de Hierro,20.7152114,-103.4181426,
"Providencia, Guadalajara, Jalisco",Providencia,20.7016259,-103.3777982,
"Chapalita, Guadalajara, Jalisco",Chapalita,20.6629905,-103.3952605,
"Valle Real, Zapopan, Jalisco",Valle Real,20.7236803,-103.4453891,
"Americana, Guadalajara, Jalisco",Americana,20.6722922,-103.3617556,
"Arcos de Zapopan, Zapopan, Jalisco",Arcos de Zapopan,20.740343,-103.4082827,
"Ladrón de Guevara, Guadalajara, Jalisco",Ladron De Guevara,20.683835,-103.3769918,
"Ciudad del Sol, Zapopan, Jalisco",Cd del Sol,20.653042,-103.4045327,
"San Jorge, Tlajomulco de Zúñiga, Jalisco",Cto. San Jorge,20.4462435,-103.4321911,
"Santa Teresita, Guadalajara, Jalisco",Santa Teresita,20.6832202,-103.3655333,
"Juriquilla, Querétaro, Querétaro",Juriquilla,20.7151227,-100.4595722,
"Zibatá, Querétaro, Querétaro",Zibatá,20.6800704,-100.3334424,
"Centro Histórico, Querétaro, Querétaro",Centro Histórico,20.5965134,-100.3866106,
"El Campanario, Querétaro, Querétaro",El Campanario,20.6182678,-100.344878,
"Milenio III, Querétaro, Querétaro",Milenio III,20.5958233,-100.3510674,
"Lomas de Angelópolis, Puebla, Puebla",Lomas de Angelópolis,18.9784562,-98.2767518,
"Angelópolis (Mall), Puebla, Puebla","Patrocinado
",19.0330804,-98.2335976,
"Centro, San Pedro Cholula, Puebla",Centro San Pedro Cholula,19.0634761,-98.3061007,
"La Paz, Puebla, Puebla",La Paz,19.0557899,-98.2262616,
"Las Ánimas, Puebla, Puebla",La Providencia,19.0440714,-98.2391622,
